game_id,p1_poker_hand,p2_poker_hand,max_variance,sum_variance
0,"(('S', 5), ('H', 9), ('C', 10), ('S', 14), ('D', 14))","(('C', 8), ('C', 9), ('D', 10), ('C', 12), ('D', 13))",0.46153846153846134,31.573964497041434
1,"(('D', 5), ('H', 6), ('D', 8), ('C', 8), ('H', 10))","(('S', 2), ('H', 3), ('S', 5), ('S', 7), ('S', 10))",0.7366863905325445,32.78698224852072
2,"(('C', 5), ('D', 10), ('S', 11), ('D', 11), ('C', 14))","(('H', 4), ('D', 6), ('C', 11), ('D', 12), ('C', 12))",0.46153846153846134,30.8165680473373
3,"(('H', 4), ('C', 5), ('H', 6), ('H', 11), ('C', 14))","(('D', 2), ('C', 2), ('S', 4), ('H', 8), ('C', 11))",0.46153846153846134,25.13609467455623
4,"(('D', 2), ('S', 5), ('S', 11), ('C', 12), ('D', 14))","(('S', 2), ('D', 3), ('H', 7), ('D', 10), ('S', 14))",0.6153846153846154,41.846153846153825
5,"(('C', 7), ('H', 7), ('S', 9), ('D', 11), ('D', 13))","(('H', 4), ('S', 8), ('D', 10), ('D', 12), ('S', 12))",0.6153846153846154,36.686390532544365
6,"(('S', 4), ('S', 5), ('C', 5), ('S', 6), ('S', 7))","(('D', 4), ('H', 6), ('C', 10), ('H', 12), ('S', 14))",0.5917159763313613,30.53106508875741
7,"(('S', 4), ('D', 7), ('S', 10), ('H', 13), ('D', 14))","(('H', 5), ('C', 5), ('C', 7), ('C', 8), ('D', 11))",0.6153846153846154,31.33727810650889
8,"(('S', 4), ('C', 4), ('H', 5), ('H', 14), ('S', 14))","(('H', 2), ('H', 6), ('S', 7), ('S', 10), ('D', 14))",0.21301775147928978,14.769230769230786
9,"(('H', 10), ('H', 11), ('D', 11), ('C', 12), ('H', 13))","(('C', 2), ('D', 3), ('S', 9), ('S', 10), ('S', 12))",0.4852071005917163,26.93491124260358
10,"(('D', 7), ('C', 7), ('H', 9), ('D', 12), ('D', 13))","(('S', 3), ('H', 4), ('D', 5), ('S', 6), ('S', 10))",0.63905325443787,41.562130177514796
11,"(('D', 3), ('C', 6), ('H', 9), ('D', 12), ('S', 14))","(('S', 3), ('H', 8), ('C', 9), ('C', 12), ('S', 12))",0.3076923076923076,17.940828402366876
12,"(('S', 4), ('D', 4), ('D', 6), ('C', 7), ('S', 9))","(('D', 2), ('C', 6), ('S', 6), ('H', 11), ('D', 14))",0.46153846153846134,30.816568047337295
13,"(('H', 2), ('S', 9), ('C', 11), ('C', 12), ('H', 13))","(('D', 2), ('S', 7), ('D', 8), ('D', 9), ('C', 10))",0.6390532544378701,42.93491124260354
