,0,1,2,3
0,50,50,50,0
1,50,50,50,0
2,50,50,50,0
3,50,50,50,0
4,50,50,50,0
5,50,50,50,0
6,50,50,50,0
7,50,50,50,0
8,50,50,50,0
9,50,50,50,0
10,50,50,50,0
11,50,50,50,0
12,50,50,50,0
13,50,50,50,0
14,50,50,50,0
15,50,50,50,0
16,50,50,50,0
17,50,50,50,0
18,50,50,50,0
19,50,50,50,0
20,50,50,50,0
21,50,50,50,0
22,50,50,50,0
23,50,50,50,0
24,50,50,50,0
25,50,50,50,0
26,50,50,50,0
27,50,50,50,0
28,50,50,50,0
29,50,50,50,0
30,50,50,50,0
31,50,50,50,0
32,50,50,50,0
33,50,50,50,0
34,50,50,50,0
35,50,50,50,0
36,50,50,50,0
37,50,50,50,0
38,50,50,50,0
39,50,50,50,0
40,50,50,50,0
41,50,50,50,0
42,50,50,50,0
43,50,50,50,0
44,50,50,50,0
45,50,50,50,0
46,50,50,50,0
47,50,50,50,0
48,50,50,50,0
49,50,50,50,0
50,50,50,50,0
51,50,50,50,0
52,50,50,50,0
53,50,50,50,0
54,50,50,50,0
55,50,50,50,0
56,50,50,50,0
57,50,50,50,0
58,50,50,50,0
59,50,50,50,0
60,50,50,50,0
61,50,50,50,0
62,50,50,50,0
63,50,50,50,0
64,50,50,50,0
65,50,50,50,0
66,50,50,50,0
67,50,50,50,0
68,50,50,50,0
69,50,50,50,0
70,50,50,50,0
71,50,50,50,0
72,50,50,50,0
73,50,50,50,0
74,50,50,50,0
75,50,50,50,0
76,50,50,50,0
77,50,50,50,0
78,50,50,50,0
79,50,50,50,0
80,50,50,50,0
81,50,50,50,0
82,50,50,50,0
83,50,50,50,0
84,50,50,50,0
85,50,50,50,0
86,50,50,50,0
87,50,50,50,0
88,50,50,50,0
89,50,50,50,0
90,50,50,50,0
91,50,50,50,0
92,50,50,50,0
93,50,50,50,0
94,50,50,50,0
95,50,50,50,0
96,50,50,50,0
97,50,50,50,0
98,50,50,50,0
99,50,50,50,0
100,50,50,50,0
101,50,50,50,0
102,50,50,50,0
103,50,50,50,0
104,50,50,50,0
105,50,50,50,0
106,50,50,50,0
107,50,50,50,0
108,50,50,50,0
109,50,50,50,0
110,50,50,50,0
111,50,50,50,0
112,50,50,50,0
113,50,50,50,0
114,50,50,50,0
115,50,50,50,0
116,50,50,50,0
117,50,50,50,0
118,50,50,50,0
119,50,50,50,0
120,50,50,50,0
121,50,50,50,0
122,50,50,50,0
123,50,50,50,0
124,50,50,50,0
125,50,50,50,0
126,50,50,50,0
127,50,50,50,0
128,50,50,50,0
129,50,50,50,0
130,50,50,50,0
131,50,50,50,0
132,50,50,50,0
133,50,50,50,0
134,50,50,50,0
135,50,50,50,0
136,50,50,50,0
137,50,50,50,0
138,50,50,50,0
139,50,50,50,0
140,50,50,50,0
141,50,50,50,0
142,50,50,50,0
143,50,50,50,0
144,50,50,50,0
145,50,50,50,0
146,50,50,50,0
147,50,50,50,0
148,50,50,50,0
149,50,50,50,0
150,50,50,50,0
151,50,50,50,0
152,50,50,50,0
153,50,50,50,0
154,50,50,50,0
155,50,50,50,0
156,50,50,50,0
157,50,50,50,0
158,50,50,50,0
159,50,50,50,0
160,50,50,50,0
161,50,50,50,0
162,50,50,50,0
163,50,50,50,0
164,50,50,50,0
165,50,50,50,0
166,50,50,50,0
167,50,50,50,0
168,50,50,50,0
169,50,50,50,0
170,50,50,50,0
171,50,50,50,0
172,50,50,50,0
173,50,50,50,0
174,50,50,50,0
175,50,50,50,0
176,50,50,50,0
177,50,50,50,0
178,50,50,50,0
179,50,50,50,0
180,50,50,50,0
181,50,50,50,0
182,50,50,50,0
183,50,50,50,0
184,50,50,50,0
185,50,50,50,0
186,50,50,50,0
187,50,50,50,0
188,50,50,50,0
189,50,50,50,0
190,50,50,50,0
191,50,50,50,0
192,50,50,50,0
193,50,50,50,0
194,50,50,50,0
195,50,50,50,0
196,50,50,50,0
197,50,50,50,0
198,50,50,50,0
199,50,50,50,0
200,50,50,50,0
201,50,50,50,0
202,50,50,50,0
203,50,50,50,0
204,50,50,50,0
205,50,50,50,0
206,50,50,50,0
207,50,50,50,0
208,50,50,50,0
209,50,50,50,0
210,50,50,50,0
211,50,50,50,0
212,50,50,50,0
213,50,50,50,0
214,50,50,50,0
215,50,50,50,0
216,50,50,50,0
217,50,50,50,0
218,50,50,50,0
219,50,50,50,0
220,50,50,50,0
221,50,50,50,0
222,50,50,50,0
223,50,50,50,0
224,50,50,50,0
225,50,50,50,0
226,50,50,50,0
227,50,50,50,0
228,50,50,50,0
229,50,50,50,0
230,50,50,50,0
231,50,50,50,0
232,50,50,50,0
233,50,50,50,0
234,50,50,50,0
235,50,50,50,0
236,50,50,50,0
237,50,50,50,0
238,50,50,50,0
239,50,50,50,0
240,50,50,50,0
241,50,50,50,0
242,50,50,50,0
243,50,50,50,0
244,50,50,50,0
245,50,50,50,0
246,50,50,50,0
247,50,50,50,0
248,50,50,50,0
249,50,50,50,0
250,50,50,50,0
251,50,50,50,0
252,50,50,50,0
253,50,50,50,0
254,50,50,50,0
255,50,50,50,0
256,50,50,50,0
257,50,50,50,0
258,50,50,50,0
259,50,50,50,0
260,50,50,50,0
261,50,50,50,0
262,50,50,50,0
263,50,50,50,0
264,50,50,50,0
265,50,50,50,0
266,50,50,50,0
267,50,50,50,0
268,50,50,50,0
269,50,50,50,0
270,50,50,48,0
271,50,50,50,0
272,50,50,50,0
273,50,50,50,0
274,50,50,50,0
275,50,50,50,0
276,50,50,50,0
277,50,50,50,0
278,50,50,50,0
279,50,50,50,0
280,50,50,50,0
281,50,50,50,0
282,50,50,50,0
283,50,50,50,0
284,50,50,50,0
285,50,50,48,0
286,50,50,50,0
287,50,50,50,0
288,50,50,50,0
289,50,50,50,0
290,50,50,50,0
291,50,50,50,0
292,50,50,50,0
293,50,50,50,0
294,50,50,50,0
295,50,50,50,0
296,50,50,50,0
297,50,50,50,0
298,50,50,50,0
299,50,50,50,0
300,50,50,50,0
301,50,50,50,0
302,50,50,50,0
303,50,50,50,0
304,50,50,50,0
305,50,50,50,0
306,50,50,50,0
307,50,50,50,0
308,50,50,50,0
309,50,50,50,0
310,50,50,50,0
311,50,50,50,0
312,50,50,50,0
313,50,50,50,0
314,50,50,50,0
315,50,50,50,0
316,50,50,48,0
317,50,50,50,0
318,50,50,50,0
319,50,50,50,0
320,50,50,50,0
321,50,50,50,0
322,50,50,50,0
323,50,50,50,0
324,50,50,50,0
325,50,50,50,0
326,50,50,50,0
327,50,50,50,0
328,50,50,50,0
329,50,50,50,0
330,50,50,50,0
331,50,50,50,0
332,50,50,50,0
333,50,50,50,0
334,50,50,50,0
335,50,50,50,0
336,50,50,50,0
337,50,50,50,0
338,50,50,50,0
339,50,50,50,0
340,50,50,48,0
341,50,50,50,0
342,50,50,50,0
343,50,50,50,0
344,50,50,50,0
345,50,50,50,0
346,50,50,50,0
347,50,50,50,0
348,50,50,48,0
349,50,50,50,0
350,50,50,50,0
351,50,50,50,0
352,50,50,50,0
353,50,50,50,0
354,50,50,50,0
355,50,50,50,0
356,50,50,50,0
357,50,50,50,0
358,50,50,50,0
359,50,50,48,0
360,50,50,50,0
361,50,50,50,0
362,50,50,50,0
363,50,50,50,0
364,50,50,50,0
365,50,50,50,0
366,50,50,50,0
367,50,50,50,0
368,50,50,50,0
369,50,50,50,0
370,50,50,50,0
371,50,50,50,0
372,50,50,50,0
373,50,50,50,0
374,50,50,50,0
375,50,50,50,0
376,50,50,50,0
377,50,50,50,0
378,50,50,50,0
379,50,50,50,0
380,50,50,50,0
381,50,50,50,0
382,50,50,50,0
383,50,50,50,0
384,50,50,50,0
385,50,50,50,0
386,50,50,50,0
387,50,50,50,0
